STATION_LATITUDE,STATION_LONGITUDE,RAIN_LAST10MIN,TEMPERATURE_TC,HUMIDITY,PRESSURE_SURFACE,TIMEOBSERVATION
37.53665,126.8282944,0.2,16.8,70.7,995.8,2016-04-16 18:00
37.52259722,126.8363444,0.2,16.7,70.2,996.3,2016-04-16 18:00
37.52122222,126.85285,0.3,16.5,73.3,993.8,2016-04-16 18:00
37.51943583,126.8692614,0.2,16.8,66.7,996,2016-04-16 18:00
37.52107778,126.8995,0.1,17.8,57.8,998.3,2016-04-16 18:00
37.52930278,126.894875,0.1,16.9,63.3,992,2016-04-16 18:00
37.53480556,126.9021667,0.1,17.3,65.5,994,2016-04-16 18:00
37.49269167,126.8956667,0.1,17,61,995.4,2016-04-16 18:00
37.49905028,126.8965461,0.1,17.3,65.5,995.4,2016-04-16 18:00
37.51239667,126.8940067,0.2,17.2,62.7,996.6,2016-04-16 18:00
37.49805722,126.9078211,0.1,17.1,66,995.4,2016-04-16 18:00
37.50040556,126.9099306,0.1,17.1,65.2,997,2016-04-16 18:00
37.51386861,126.9264886,0.1,17.4,64.6,995.6,2016-04-16 18:00
37.53539972,126.89754,0.2,17.3,63.9,995.6,2016-04-16 18:00
37.52416667,126.9275,0.1,17.5,65.3,994,2016-04-16 18:00
37.51972222,126.9311111,0.1,17.4,63.8,995,2016-04-16 18:00
37.51672639,126.9073606,0.1,17.1,65.9,994.8,2016-04-16 18:00
37.52511806,126.9104178,0.1,17.4,64.5,995.4,2016-04-16 18:00
37.51282556,126.9105506,0.1,17.2,64.4,994.7,2016-04-16 18:00
37.54750583,126.9713992,0,17.4,65.2,995,2016-04-16 18:00
37.55133611,126.9626778,0.1,17.3,62.9,990.6,2016-04-16 18:00
37.52051667,126.9936694,0,17.7,63.4,997.4,2016-04-16 18:00
37.54236944,126.9880333,0,17.3,62.8,993.5,2016-04-16 18:00
37.53752333,126.9650017,0.1,17.5,62.7,995.8,2016-04-16 18:00
37.53288056,126.9557472,0.1,17.5,63,995.7,2016-04-16 18:00
37.51843333,126.9771444,0.1,17.6,56,997.2,2016-04-16 18:00
37.53011139,126.9683239,0,17.1,57.6,992.1,2016-04-16 18:00
37.53516111,126.99785,0,16.9,65.3,988.7,2016-04-16 18:00
37.5493,126.9793083,0,17,63.6,993.3,2016-04-16 18:00
37.61333889,126.9111183,0.1,17.1,61.6,994.9,2016-04-16 18:00
37.60240111,126.9354017,0.3,17,63.9,992.6,2016-04-16 18:00
37.62403556,126.9202106,0.1,15.8,62.4,993.7,2016-04-16 18:00
37.58353056,126.8917847,0.1,17,67.2,996,2016-04-16 18:00
37.59088889,126.9049167,0.1,17.2,66.7,995,2016-04-16 18:00
37.59830083,126.9132767,0.1,17.3,63.5,994.1,2016-04-16 18:00
37.60607167,126.9223481,0,17.5,65.3,996.1,2016-04-16 18:00
37.59344472,126.9205247,0.1,17.1,62.9,995.1,2016-04-16 18:00
37.59483333,126.9175,0.1,17.6,60.7,996,2016-04-16 18:00
37.58130556,126.9065,0.1,17.2,65.2,997.9,2016-04-16 18:00
37.57957778,126.9868361,0.1,17.7,60.2,996,2016-04-16 18:00
